id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
7314278078,9988,2014,kia,sorento lx,good,4 cylinders,gas,121259,clean,automatic,fwd,compact,SUV,red,al,33.4188,-86.7867
7313594854,5500,2010,hyundai,accent,good,4 cylinders,gas,114988,clean,automatic,fwd,mid-size,hatchback,blue,al,33.242977,-86.817334
7313219085,9500,2013,hyundai,sonata,excellent,4 cylinders,gas,125000,clean,automatic,fwd,mid-size,sedan,red,al,33.4662,-87.092
7311830338,9988,2014,kia,sorento lx,good,4 cylinders,gas,121259,clean,automatic,fwd,compact,SUV,red,al,33.4188,-86.7867
7311365259,10888,2014,kia,sorento lx,good,4 cylinders,gas,121259,clean,automatic,fwd,compact,SUV,red,al,33.4188,-86.7867
7307029274,11500,2012,kia,optima,excellent,6 cylinders,gas,64000,lien,automatic,fwd,mid-size,sedan,grey,al,33.468,-87.0924
7306472445,9800,2012,kia,soul,good,4 cylinders,gas,76117,clean,automatic,fwd,mid-size,wagon,white,al,33.242995,-86.817312
7304888907,19900,2018,kia,sportage,good,4 cylinders,gas,35823,clean,automatic,fwd,full-size,SUV,black,al,33.772519,-86.475191
7304871378,7500,2011,kia,soul,excellent,4 cylinders,gas,51000,clean,automatic,fwd,compact,SUV,silver,al,33.9135,-84.6859
7314677292,4200,2009,hyundai,sonata,excellent,4 cylinders,gas,93000,clean,automatic,fwd,compact,sedan,black,al,31.176849,-86.576467
7303262763,8000,2013,kia,soul,excellent,4 cylinders,gas,89800,rebuilt,automatic,fwd,compact,hatchback,red,al,31.312337,-85.858326
7314883079,12500,2015,kia,soul,excellent,4 cylinders,gas,51752,clean,automatic,fwd,compact,hatchback,red,al,34.4373,-85.9288
7313952753,6500,2011,hyundai,genesis coupe 2.0t,excellent,4 cylinders,gas,197000,clean,automatic,rwd,compact,coupe,red,al,34.473637,-86.991978
7313355149,8000,2012,kia,soul,excellent,4 cylinders,gas,132423,clean,automatic,fwd,full-size,hatchback,silver,al,34.8273,-86.7499
7309767524,8495,2010,hyundai,santa fe gls,excellent,4 cylinders,gas,125082,clean,automatic,fwd,mid-size,SUV,green,al,34.779443,-86.92135
7316597191,7499,2011,hyundai,elantra limited,excellent,4 cylinders,gas,178000,clean,automatic,fwd,mid-size,sedan,white,al,30.4007,-87.6857
7313516095,11480,2017,hyundai,elantra,excellent,4 cylinders,gas,65955,clean,automatic,fwd,compact,sedan,silver,al,30.526402,-87.266679
7313264949,3500,2009,hyundai,sonata,good,4 cylinders,gas,213159,clean,automatic,fwd,compact,sedan,black,al,30.663,-88.0556
7314675549,4200,2009,hyundai,sonata,excellent,4 cylinders,gas,93000,clean,automatic,fwd,compact,sedan,black,al,29.780143,-86.182251
7309344710,6150,2013,kia,soul,excellent,4 cylinders,gas,130200,clean,automatic,rwd,mid-size,SUV,red,al,32.3129,-86.2421
7316526243,23995,2016,hyundai,tucson limited,excellent,4 cylinders,gas,36699,clean,automatic,4wd,full-size,SUV,orange,ak,61.21832,-149.869051
